case,mode,complexity,status,triangle_count,vertex_count,brep_edge_segment_count,deflection_mm,glb_size_bytes,step_load_sec,tessellation_sec,occ_normals_sec,brep_edges_sec,glb_assembly_sec,model_generation_sec,total_sec,peak_worker_rss_mib,cgroup_memory_limit_mib,phase,worker_exit_code,worker_signal_name,worker_stderr,traceback,error,step_path
staffa_semplice,legacy,normal,completed,1292,644,0,0.15764539639937844,31964,0.010158,0.015138,,,0.006897,0.023591,0.091567,71.68,512.0,completed,0,,,,,/app/tests/dataset/staffa_1_piega_test_1/input.stp
staffa_semplice,v1,normal,completed,1292,1304,92,0.15764539639937844,50460,0.009861,0.036277,0.061011,0.005022,0.0019,0.106182,0.162767,70.3,512.0,completed,0,,,,,/app/tests/dataset/staffa_1_piega_test_1/input.stp
staffa_semplice,v1_1,normal,completed,1292,1304,92,0.15764539639937844,50460,0.010169,0.036741,0.014797,0.00512,0.00161,0.060245,0.122513,70.02,512.0,completed,0,,,,,/app/tests/dataset/staffa_1_piega_test_1/input.stp
staffa_semplice,shading_fix,normal,completed,1292,1304,92,0.15764539639937844,50460,0.00992,0.039226,0.013838,0.005602,0.00175,0.062522,0.119655,70.29,512.0,completed,0,,,,,/app/tests/dataset/staffa_1_piega_test_1/input.stp
staffa_superfici_curve,legacy,normal,completed,2572,1280,0,0.15229992210171797,62612,0.015167,0.027869,,,0.013393,0.043723,0.107701,76.79,512.0,completed,0,,,,,/app/tests/dataset/staffa_u_test_1/input.stp
staffa_superfici_curve,v1,normal,completed,2572,2584,186,0.15229992210171797,98880,0.015236,0.071093,0.183252,0.00961,0.004011,0.271272,0.335003,73.01,512.0,completed,0,,,,,/app/tests/dataset/staffa_u_test_1/input.stp
staffa_superfici_curve,v1_1,normal,completed,2572,2584,186,0.15229992210171797,98880,0.015475,0.069887,0.02932,0.009282,0.00326,0.114853,0.182327,72.3,512.0,completed,0,,,,,/app/tests/dataset/staffa_u_test_1/input.stp
staffa_superfici_curve,shading_fix,normal,completed,2572,2584,186,0.15229992210171797,98880,0.015823,0.073377,0.026267,0.010707,0.003817,0.117432,0.193692,72.74,512.0,completed,0,,,,,/app/tests/dataset/staffa_u_test_1/input.stp
staffa_16_pieghe,legacy,high,completed,39856,19906,0,0.9343807407443994,957084,0.885276,0.206733,,,0.210731,0.446599,1.38598,134.83,512.0,completed,0,,,,,/app/tests/dataset/staffa_16_pieghe_stress_test/input.stp
staffa_16_pieghe,v1,high,completed,40571,29254,639,0.9343807407443994,1205872,0.90395,0.893343,7.552379,0.820608,0.059202,9.358958,10.318721,121.68,512.0,completed,0,,,,,/app/tests/dataset/staffa_16_pieghe_stress_test/input.stp
staffa_16_pieghe,v1_1,high,completed,40571,29254,639,0.9343807407443994,1205872,0.866143,0.906531,6.793712,0.830846,0.037599,8.604213,9.521425,107.02,512.0,completed,0,,,,,/app/tests/dataset/staffa_16_pieghe_stress_test/input.stp
staffa_16_pieghe,shading_fix,high,completed,40571,29254,639,0.9343807407443994,1205872,0.872774,0.99504,6.585562,0.816908,0.036486,8.471922,9.397867,107.46,512.0,completed,0,,,,,/app/tests/dataset/staffa_16_pieghe_stress_test/input.stp
